Index,Price
696,16949
697,9453
698,13727
699,13691
700,18700
701,5054
702,14778
703,3286
704,11429
705,15976
706,7143
707,14528
708,6316
710,12171
711,8091
712,11558
713,4274
714,4500
715,5263
716,4275
717,4516
718,8235
719,21250
722,3176
725,12400
726,7647
727,10615
728,9820
729,4412
730,6116
731,17034
732,18250
733,10417
734,7098
735,13067
736,8184
737,13192
738,7286
739,4000
740,15942
741,4822
742,13307
743,4074
744,10333
746,16250
747,4040
748,5500
749,11724
750,9611
751,7395
752,14286
753,13745
754,13131
755,11207
756,3067
757,3765
758,17240
759,14455
760,10513
763,11429
764,4823
766,20000
767,7333
768,5566
769,11000
770,7647
771,9783
772,11349
773,15417
774,9167
775,9508
776,3908
778,10000
779,9333
780,14286
781,12152
783,5756
784,7692
785,10345
786,6213
787,5091
789,7742
790,10400
791,18636
792,8980
793,3821
794,4070
796,6279
797,20833
798,10000
800,6929
801,11125
802,4348
803,10833
804,8795
805,9818
806,11282
807,9402
809,5556
810,9100
811,19474
812,10000
813,11899
814,21111
815,12364
816,12417
817,8652
819,12692
820,6748
821,10909
822,3026
823,14348
824,11024
825,4277
828,3911
829,4132
830,9314
831,20714
832,12857
833,16905
834,13095
835,7636
836,10728
837,8421
838,11885
839,4273
840,3504
841,15488
842,5909
843,10769
844,2861
845,4832
846,17981
847,11029
848,16986
849,4507
850,7519
851,3193
852,7564
853,18942
854,9412
855,3929
856,4538
857,19379
858,19379
859,3300
860,10400
861,13081
862,8500
863,4556
864,10667
865,16250
866,4898
867,7803
868,5588
869,11047
870,11200
871,15000
872,3600
873,10778
874,13636
875,7576
876,10889
877,8571
879,8019
880,10727
881,10909
882,12500
884,4103
885,12008
886,8859
887,10600
888,10667
889,6875
890,10963
891,9681
892,15605
893,24138
894,31405
895,5644
896,5455
897,12857
898,5403
900,16667
901,6667
902,12324
903,12708
904,11273
905,9868
906,3768
907,17500
908,22414
909,9792
910,6275
911,16857
912,5556
914,7647
915,4706
916,11483
917,6870
918,10556
919,9481
920,10816
921,13978
922,3518
923,12605
924,11733
925,8046
926,8342
927,8857
928,13946
929,3385
931,6471
933,7879
934,2045
935,13158
936,14648
937,3520
939,8000
940,3797
941,5014
942,3833
943,12000
944,15455
945,24500
946,11613
948,6452
949,3699
950,10848
951,13821
952,15455
953,4281
956,12857
957,14400
958,11444
959,4444
960,11556
961,10800
962,4615
964,11667
965,9787
966,4762
967,13500
968,5686
970,16106
971,4015
972,15852
974,11250
975,6061
976,19250
977,7557
978,7557
979,7815
980,7703
981,7906
982,8299
983,9034
984,8599
986,12482
987,12140
988,8980
989,5375
990,7385
991,7284
992,7385
993,13750
994,7738
995,7481
996,9600
997,7895
998,5618
999,17255
1000,17045
1001,6000
1002,8755
1003,4173
