Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-02-03,126.42,254.21,41.53,66.04,68.9,24.99,8.84,1.87,7.46,0.24,2.8,,,,,14.58,61.89,0.37,234.53,0.0,0.0,91.2,981.68,
2024-02-04,144.99,210.69,37.09,49.4,56.43,37.34,6.82,1.34,9.92,0.0,0.0,,,,,14.7,77.96,0.41,169.9,0.03,0.03,52.8,981.4,
2024-02-05,100.12,143.46,6.56,33.08,22.93,36.07,6.85,0.66,9.32,0.87,10.61,,,,,15.0,76.24,0.49,213.51,0.0,0.0,93.85,981.44,
2024-02-06,72.76,148.26,7.51,41.81,27.85,26.02,6.38,0.65,9.67,2.23,19.55,,,,,13.84,66.74,0.47,256.84,0.0,0.0,139.23,981.59,
2024-02-07,77.94,174.4,4.86,47.29,28.49,21.21,6.62,0.57,14.0,2.68,23.2,,,,,14.09,57.49,0.89,251.27,0.0,0.0,119.61,981.51,
2024-02-08,80.23,164.47,1.74,42.81,23.49,22.69,13.81,0.58,19.54,2.63,21.59,,,,,14.61,57.12,1.34,233.09,0.0,0.0,133.36,981.46,
2024-02-09,84.75,182.75,28.51,56.54,50.99,22.34,71.21,1.19,18.46,3.25,23.23,,,,,14.59,56.93,0.37,235.22,0.0,0.0,140.44,981.25,
2024-02-10,222.99,339.52,28.51,66.09,58.1,26.15,13.88,1.46,12.83,4.57,39.84,,,,,14.38,66.78,0.32,284.62,0.0,0.0,112.3,981.62,
2024-02-11,173.18,268.94,8.34,58.76,38.03,28.33,25.91,1.04,12.58,3.0,26.61,,,,,15.05,65.49,0.31,266.18,0.0,0.0,121.88,981.28,
2024-02-12,192.88,296.36,18.92,65.58,50.26,27.76,19.58,1.34,9.54,3.75,29.04,,,,,14.93,69.95,0.31,274.75,0.0,0.0,90.24,981.32,
2024-02-13,262.38,406.9,48.12,80.48,81.94,29.12,17.65,2.41,11.0,5.1,38.25,,,,,14.94,70.66,0.3,176.03,0.0,0.0,64.7,981.35,
2024-02-14,213.33,328.27,17.74,64.18,48.55,32.76,18.47,1.37,10.3,5.27,51.33,,,,,15.66,68.1,0.34,261.44,0.0,0.0,112.04,981.23,
2024-02-15,142.15,242.25,17.06,61.95,46.68,30.16,18.96,1.28,15.26,3.77,36.36,,,,,16.0,62.76,0.5,263.01,0.0,0.0,124.69,981.23,
2024-02-16,126.34,205.03,14.76,50.15,38.51,28.7,19.63,0.7,15.69,4.47,37.27,,,,,18.85,58.46,0.4,279.35,0.0,0.0,136.95,981.31,
2024-02-17,152.0,232.4,84.42,56.04,84.12,25.25,19.35,2.71,12.04,3.68,35.33,,,,,22.82,59.99,0.55,281.1,0.0,0.0,123.46,981.6,
2024-02-18,164.79,322.98,153.2,62.55,157.83,26.06,19.71,3.71,11.23,5.62,51.59,,,,,23.9,60.71,0.36,145.64,0.0,0.0,113.17,981.15,
2024-02-19,100.93,240.86,4.14,40.54,24.93,33.2,19.61,0.62,23.51,1.78,9.93,,,,,25.15,55.47,1.64,107.49,0.0,0.0,106.88,980.68,
2024-02-20,164.92,231.29,14.82,49.06,38.15,35.16,18.99,1.23,15.77,2.32,21.28,,,,,24.63,71.23,0.46,188.16,0.15,0.15,94.83,980.4,
2024-02-21,120.33,223.92,15.17,41.78,34.56,34.04,19.07,0.85,15.15,2.71,26.85,,,,,24.2,62.71,0.63,281.44,0.0,0.0,140.04,980.69,
2024-02-22,71.95,170.18,8.85,45.04,31.15,25.34,19.96,0.57,17.33,1.78,14.85,,,,,23.96,51.32,0.64,263.29,0.0,0.0,146.45,981.02,
2024-02-23,58.99,144.8,6.17,48.09,30.55,19.5,19.84,0.56,22.13,1.49,14.77,,,,,23.31,47.34,0.81,289.83,0.0,0.0,152.78,981.2,
2024-02-24,103.34,211.12,18.83,66.11,50.15,18.73,19.81,0.91,21.24,2.9,31.57,,,,,22.93,50.75,0.42,297.06,0.0,0.0,114.94,981.31,
2024-02-25,118.06,219.99,8.98,57.01,37.54,19.49,20.94,0.75,23.23,2.51,15.01,,,,,23.43,47.91,0.55,271.97,0.0,0.0,122.28,981.18,
2024-02-26,114.58,225.35,11.18,62.61,41.98,19.69,20.57,0.92,23.44,2.65,13.35,,,,,23.79,46.7,0.42,296.11,0.0,0.0,103.77,981.12,
2024-02-27,80.12,152.86,5.22,44.49,27.86,21.93,19.61,0.63,16.84,2.1,20.56,,,,,23.74,51.9,0.7,295.2,0.01,0.01,132.78,980.88,
2024-02-28,64.94,144.75,3.94,38.68,23.54,23.43,19.27,0.59,19.88,1.78,15.76,,,,,23.78,56.03,1.33,278.52,0.0,0.0,160.55,980.97,
2024-02-29,64.75,146.58,5.45,44.24,27.94,23.55,19.55,0.78,24.23,1.94,16.86,,,,,24.52,54.26,0.96,277.03,0.0,0.0,164.07,980.86,
2024-03-01,106.12,223.03,27.74,69.12,59.32,25.53,20.64,1.09,20.65,3.62,36.72,,,,,25.4,55.25,0.57,200.95,0.0,0.0,119.97,980.84,
2024-03-02,32.14,75.28,4.8,26.8,18.16,30.23,18.85,0.42,11.78,1.18,11.07,,,,,24.91,65.32,2.58,150.49,0.05,0.05,99.42,980.65,
2024-03-03,52.94,145.97,5.44,31.24,21.04,25.74,18.8,0.54,12.53,1.24,9.05,,,,,23.76,64.51,0.74,236.64,0.18,0.18,120.5,980.82,
2024-03-04,64.92,137.45,6.36,36.17,24.36,19.77,19.48,0.54,23.49,1.84,7.58,,,,,23.19,53.31,0.77,289.54,0.0,0.0,169.67,980.91,
2024-03-05,51.04,126.3,2.91,32.6,19.61,17.56,19.3,0.42,29.47,1.28,9.14,,,,,22.53,50.84,1.49,276.67,0.0,0.0,173.21,980.93,
2024-03-06,59.95,134.19,3.02,40.84,24.09,16.97,22.65,0.58,29.23,1.54,14.95,,,,,22.49,51.09,0.99,270.95,0.0,0.0,141.11,980.81,
2024-03-07,78.76,175.97,5.79,52.7,32.69,20.29,26.57,0.68,21.03,1.94,18.95,,,,,23.31,51.76,0.98,274.31,0.0,0.0,159.92,980.82,
2024-03-08,62.88,140.78,4.98,39.97,25.3,22.78,27.7,0.52,20.41,1.46,10.85,,,,,22.59,50.75,1.04,275.71,0.0,0.0,169.6,980.58,
2024-03-09,58.03,130.55,3.92,40.42,24.53,21.94,26.18,0.54,26.03,1.58,11.5,,,,,22.64,49.65,1.36,262.11,0.0,0.0,174.07,980.49,
2024-03-10,80.87,168.9,4.94,52.09,31.73,21.86,29.69,0.7,25.89,1.99,14.45,,,,,23.26,48.21,0.81,249.45,0.0,0.0,144.91,980.54,
2024-03-11,112.73,212.3,9.51,55.33,37.16,25.6,33.18,0.96,24.42,3.21,12.66,,,,,24.46,49.93,0.69,255.44,0.0,0.0,148.1,980.42,
2024-03-12,105.33,190.07,9.11,44.06,30.84,26.49,30.26,0.77,17.78,2.7,13.81,,,,,24.23,53.2,0.92,264.98,0.0,0.0,154.9,980.42,
2024-03-13,93.46,181.06,10.81,56.63,38.81,25.54,28.73,0.82,14.63,2.05,15.48,,,,,24.04,54.22,0.64,232.81,0.0,0.0,132.01,980.46,
2024-03-14,147.08,253.57,18.5,44.86,38.9,27.17,30.56,0.93,14.03,3.18,14.79,,,,,24.37,53.65,1.05,264.78,0.0,0.0,157.0,980.48,
2024-03-15,38.01,127.95,4.04,36.75,22.81,22.66,25.79,0.48,20.43,1.56,17.86,,,,,23.92,45.06,2.03,255.49,0.0,0.0,181.52,980.3,
2024-03-16,66.5,164.12,5.73,47.1,29.6,21.64,30.21,0.64,26.83,2.01,17.95,,,,,24.14,46.31,0.7,260.26,0.0,0.0,163.3,980.53,
2024-03-17,74.99,169.86,4.87,45.71,28.27,22.59,30.69,0.64,25.66,1.93,17.68,,,,,24.33,46.25,0.66,258.74,0.0,0.0,161.98,980.49,
2024-03-18,76.98,174.68,4.51,45.02,27.6,22.35,30.93,0.68,29.45,5.96,18.3,,,,,24.44,46.77,0.89,257.86,0.0,0.0,169.59,980.41,
2024-03-19,105.99,232.99,26.62,58.17,51.85,17.06,31.65,1.03,22.94,4.59,30.3,,,,,24.42,49.23,0.67,264.79,0.0,0.0,156.28,980.6,
2024-03-20,113.96,235.01,9.27,56.34,37.2,40.58,32.74,1.02,21.97,2.71,22.83,,,,,25.53,48.3,0.67,266.14,0.0,0.0,149.71,980.71,
2024-03-21,74.97,175.53,5.99,36.56,24.32,60.18,26.69,0.73,16.82,1.84,13.75,,,,,24.15,60.64,1.13,108.32,0.0,0.0,147.27,980.85,
2024-03-22,88.91,188.16,10.28,44.42,31.81,59.58,27.85,1.17,35.22,2.08,14.04,,,,,25.5,57.71,0.69,171.17,0.0,0.0,144.43,980.69,
2024-03-23,115.81,286.64,15.01,54.54,39.3,59.29,28.78,1.21,22.24,3.08,27.04,,,,,26.29,51.49,1.45,269.67,0.22,0.21,144.5,980.49,
2024-03-24,84.58,239.47,10.15,47.38,32.62,59.68,30.91,0.87,20.18,2.5,15.39,,,,,25.22,53.25,1.73,224.08,0.0,0.0,94.75,980.27,
2024-03-25,,187.14,13.05,36.08,28.98,60.02,32.51,1.0,28.14,2.48,10.96,,,,,26.1,52.05,1.4,261.26,0.0,0.0,158.04,980.28,
2024-03-26,67.49,183.91,3.27,37.52,22.44,60.32,32.41,0.67,36.98,2.01,11.74,,,,,26.87,48.71,1.22,254.01,0.0,0.0,142.2,980.2,
2024-03-27,86.22,202.4,13.88,52.35,38.26,59.54,33.87,1.05,26.86,2.86,20.49,,,,,27.17,50.52,0.79,274.32,0.0,0.0,101.6,980.21,
2024-03-28,61.81,169.34,3.7,43.74,25.93,60.18,33.49,0.67,37.0,2.39,17.6,,,,,28.21,46.82,0.92,262.61,0.0,0.0,134.57,980.09,
2024-03-29,79.2,203.87,6.37,48.75,30.39,60.15,45.05,0.76,42.57,2.31,20.85,,,,,28.06,48.08,0.73,192.64,0.0,0.0,133.56,980.06,
2024-03-30,77.51,224.43,10.06,47.84,33.45,59.82,30.02,1.06,40.52,2.52,23.09,,,,,27.96,50.67,1.04,182.45,0.0,0.0,133.72,980.06,
2024-03-31,94.51,253.48,15.2,41.36,32.6,60.03,34.61,0.94,46.72,3.7,26.51,,,,,27.88,48.61,1.96,221.71,0.0,0.0,147.66,980.18,
2024-04-01,43.75,143.1,3.33,31.9,19.02,60.85,30.17,0.43,38.03,1.43,11.65,,,,,26.6,48.6,2.45,250.68,0.0,0.0,139.17,980.19,
2024-04-02,46.88,158.06,2.09,38.13,21.39,60.72,30.22,0.5,48.82,1.35,13.18,,,,,28.39,41.41,1.9,261.53,0.0,0.0,166.07,980.06,
2024-04-03,98.51,236.92,4.75,59.69,34.77,60.3,44.49,0.98,49.88,3.04,21.06,,,,,29.46,40.11,0.75,273.19,0.06,0.06,143.64,982.26,
2024-04-04,77.5,210.83,5.18,56.94,33.52,60.62,33.49,0.79,42.55,2.98,19.01,,,,,30.59,37.43,1.02,271.96,0.0,0.0,152.61,983.91,
